"timestamp","device_id","CPU_T","CPU_Usage","RAM_Total","RAM_Used","RAM_Free","DISK_Total","DISK_Used_Space","DISK_Used_Perc"
"13/1/2025 15:47:22.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:42:21.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:37:21.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:32:21","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:27:21","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:22:20.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:17:20","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:12:20","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:07:20","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:02:19.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:57:19","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:52:18.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:47:18","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:42:18","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:37:16.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:32:16","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:27:16","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:22:15.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:17:15.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:12:15","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:07:15","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 14:02:14.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:57:13","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:52:13","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:47:12.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:42:12","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:37:12","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:32:11.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:27:11","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:22:10.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:17:10.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:12:09.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:07:09.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 13:02:09","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:57:08.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:52:08.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:47:08.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:42:08","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:37:08","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:32:07.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:27:07.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:22:06.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:17:06.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:12:05.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:07:05","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 12:02:05","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 11:57:04.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 11:52:04.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 11:47:04","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
