SiteName,Humidity,Temperature,Noise,PM2_5,PM10,ReceivedTime,ReportedTime-UTC
G-TH,77.9,10.6,0,3,3,"1/12/2025, 19:28:11",2025-01-13T01:28:11.266Z
H-TH,77.0,10.3,0,1,1,"1/12/2025, 19:28:09",2025-01-13T01:28:09.445Z
G-TH,78.0,10.6,0,3,4,"1/12/2025, 19:27:41",2025-01-13T01:27:41.261Z
G-TH,77.9,10.6,0,3,3,"1/12/2025, 19:27:11",2025-01-13T01:27:11.247Z
G-TH,77.8,10.6,0,2,2,"1/12/2025, 19:26:41",2025-01-13T01:26:41.235Z
G-TH,77.8,10.6,0,3,3,"1/12/2025, 19:26:11",2025-01-13T01:26:11.222Z
G-TH,77.8,10.6,0,2,3,"1/12/2025, 19:25:41",2025-01-13T01:25:41.219Z
G-TH,77.7,10.6,0,1,2,"1/12/2025, 19:25:11",2025-01-13T01:25:11.199Z
G-TH,77.6,10.6,0,0,1,"1/12/2025, 19:24:41",2025-01-13T01:24:41.190Z
G-TH,77.4,10.7,0,0,0,"1/12/2025, 19:24:11",2025-01-13T01:24:11.189Z
G-TH,77.3,10.6,0,0,0,"1/12/2025, 19:23:41",2025-01-13T01:23:41.165Z
G-TH,77.1,11.0,0,1,2,"1/12/2025, 19:18:11",2025-01-13T01:18:11.068Z
G-TH,77.1,11.0,0,0,1,"1/12/2025, 19:17:41",2025-01-13T01:17:41.088Z
H-TH,76.7,10.8,0,2,2,"1/12/2025, 19:17:29",2025-01-13T01:17:29.308Z
G-TH,77.1,11.1,0,0,1,"1/12/2025, 19:17:11",2025-01-13T01:17:11.044Z
H-TH,76.7,10.8,0,10,13,"1/12/2025, 19:16:49",2025-01-13T01:16:49.308Z
G-TH,77.1,11.1,0,0,1,"1/12/2025, 19:16:41",2025-01-13T01:16:41.054Z
G-TH,77.1,11.1,0,0,1,"1/12/2025, 19:16:11",2025-01-13T01:16:11.042Z
H-TH,76.6,10.7,0,10,13,"1/12/2025, 19:16:09",2025-01-13T01:16:09.294Z
G-TH,77.2,11.1,0,0,0,"1/12/2025, 19:15:41",2025-01-13T01:15:41.093Z
H-TH,76.6,10.7,0,2,3,"1/12/2025, 19:15:29",2025-01-13T01:15:29.290Z
G-TH,77.2,11.1,0,0,0,"1/12/2025, 19:15:11",2025-01-13T01:15:11.042Z
H-TH,76.5,10.6,0,1,2,"1/12/2025, 19:14:49",2025-01-13T01:14:49.291Z
G-TH,77.1,11.0,0,0,0,"1/12/2025, 19:14:41",2025-01-13T01:14:41.058Z
G-TH,77.1,11.0,0,0,0,"1/12/2025, 19:14:11",2025-01-13T01:14:11.029Z
H-TH,76.5,10.6,0,1,2,"1/12/2025, 19:14:09",2025-01-13T01:14:09.293Z
G-TH,77.0,11.0,0,0,0,"1/12/2025, 19:13:41",2025-01-13T01:13:41.031Z
H-TH,76.6,10.6,0,1,1,"1/12/2025, 19:13:29",2025-01-13T01:13:29.280Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:08:11",2025-01-13T01:08:10.988Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:07:41",2025-01-13T01:07:41.009Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:07:11",2025-01-13T01:07:10.994Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:06:41",2025-01-13T01:06:40.932Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:06:11",2025-01-13T01:06:10.931Z
G-TH,76.4,11.2,0,0,0,"1/12/2025, 19:05:41",2025-01-13T01:05:40.957Z
G-TH,76.3,11.1,0,1,1,"1/12/2025, 19:05:11",2025-01-13T01:05:10.894Z
G-TH,76.1,11.1,0,0,0,"1/12/2025, 19:04:41",2025-01-13T01:04:40.928Z
G-TH,75.8,11.0,0,0,0,"1/12/2025, 19:04:11",2025-01-13T01:04:10.864Z
G-TH,75.6,11.0,0,0,0,"1/12/2025, 19:03:41",2025-01-13T01:03:40.854Z
H-TH,77.1,11.1,0,0,0,"1/12/2025, 19:02:49",2025-01-13T01:02:49.179Z
H-TH,77.1,11.0,0,1,1,"1/12/2025, 19:02:09",2025-01-13T01:02:09.191Z
H-TH,76.9,11.0,0,2,2,"1/12/2025, 19:01:29",2025-01-13T01:01:29.167Z
H-TH,76.7,11.0,0,0,1,"1/12/2025, 19:00:49",2025-01-13T01:00:49.206Z
H-TH,76.4,11.0,0,0,0,"1/12/2025, 19:00:09",2025-01-13T01:00:09.173Z
H-TH,76.2,10.9,0,0,1,"1/12/2025, 18:59:29",2025-01-13T00:59:29.211Z
H-TH,76.0,10.9,0,0,0,"1/12/2025, 18:58:49",2025-01-13T00:58:49.167Z
G-TH,75.4,11.4,0,0,0,"1/12/2025, 18:58:11",2025-01-13T00:58:10.785Z
G-TH,75.4,11.4,0,0,0,"1/12/2025, 18:57:41",2025-01-13T00:57:40.777Z
G-TH,75.5,11.4,0,0,0,"1/12/2025, 18:57:11",2025-01-13T00:57:10.729Z
G-TH,75.6,11.4,0,0,0,"1/12/2025, 18:56:40",2025-01-13T00:56:40.716Z
G-TH,75.6,11.4,0,0,0,"1/12/2025, 18:56:11",2025-01-13T00:56:10.705Z
G-TH,75.7,11.4,0,0,1,"1/12/2025, 18:55:41",2025-01-13T00:55:40.719Z
G-TH,75.8,11.3,0,0,0,"1/12/2025, 18:55:11",2025-01-13T00:55:10.741Z
G-TH,75.8,11.3,0,0,0,"1/12/2025, 18:54:40",2025-01-13T00:54:40.696Z
G-TH,75.8,11.3,0,1,1,"1/12/2025, 18:54:10",2025-01-13T00:54:10.693Z
G-TH,75.7,11.3,0,1,1,"1/12/2025, 18:53:41",2025-01-13T00:53:40.691Z
G-TH,74.4,11.6,0,0,0,"1/12/2025, 18:48:10",2025-01-13T00:48:10.601Z
H-TH,76.8,11.2,0,0,0,"1/12/2025, 18:48:09",2025-01-13T00:48:09.085Z
G-TH,74.4,11.6,0,0,0,"1/12/2025, 18:47:40",2025-01-13T00:47:40.601Z
H-TH,76.8,11.2,0,0,0,"1/12/2025, 18:47:29",2025-01-13T00:47:29.099Z
G-TH,74.3,11.7,0,0,0,"1/12/2025, 18:47:10",2025-01-13T00:47:10.636Z
H-TH,76.8,11.1,0,1,2,"1/12/2025, 18:46:49",2025-01-13T00:46:49.045Z
G-TH,74.3,11.7,0,0,0,"1/12/2025, 18:46:40",2025-01-13T00:46:40.608Z
G-TH,74.2,11.7,0,0,0,"1/12/2025, 18:46:10",2025-01-13T00:46:10.581Z
H-TH,76.7,11.1,0,0,1,"1/12/2025, 18:46:09",2025-01-13T00:46:09.048Z
G-TH,74.3,11.7,0,0,0,"1/12/2025, 18:45:40",2025-01-13T00:45:40.572Z
H-TH,76.7,11.0,0,0,0,"1/12/2025, 18:45:29",2025-01-13T00:45:29.039Z
G-TH,74.3,11.7,0,0,0,"1/12/2025, 18:45:11",2025-01-13T00:45:10.594Z
H-TH,76.7,11.0,0,0,0,"1/12/2025, 18:44:49",2025-01-13T00:44:49.039Z
G-TH,74.3,11.8,0,0,0,"1/12/2025, 18:44:41",2025-01-13T00:44:40.556Z
G-TH,74.2,11.8,0,1,1,"1/12/2025, 18:44:10",2025-01-13T00:44:10.521Z
H-TH,76.7,11.0,0,0,0,"1/12/2025, 18:44:09",2025-01-13T00:44:09.036Z
G-TH,74.2,11.8,0,1,1,"1/12/2025, 18:43:40",2025-01-13T00:43:40.532Z
H-TH,76.7,11.0,0,2,2,"1/12/2025, 18:43:29",2025-01-13T00:43:29.048Z
G-TH,74.3,12.0,0,0,0,"1/12/2025, 18:38:10",2025-01-13T00:38:10.412Z
G-TH,74.4,12.0,0,0,0,"1/12/2025, 18:37:40",2025-01-13T00:37:40.398Z
G-TH,74.5,12.1,0,0,0,"1/12/2025, 18:37:10",2025-01-13T00:37:10.400Z
G-TH,74.5,12.0,0,0,0,"1/12/2025, 18:36:40",2025-01-13T00:36:40.376Z
G-TH,74.5,12.0,0,0,0,"1/12/2025, 18:36:10",2025-01-13T00:36:10.363Z
G-TH,74.6,12.0,0,0,0,"1/12/2025, 18:35:40",2025-01-13T00:35:40.360Z
G-TH,74.6,11.9,0,0,0,"1/12/2025, 18:35:10",2025-01-13T00:35:10.367Z
G-TH,74.6,11.9,0,0,0,"1/12/2025, 18:34:40",2025-01-13T00:34:40.338Z
G-TH,74.6,11.9,0,0,0,"1/12/2025, 18:34:10",2025-01-13T00:34:10.374Z
G-TH,74.5,11.9,0,0,0,"1/12/2025, 18:33:40",2025-01-13T00:33:40.329Z
H-TH,75.8,11.5,0,0,1,"1/12/2025, 18:32:49",2025-01-13T00:32:48.921Z
H-TH,75.7,11.4,0,0,0,"1/12/2025, 18:32:09",2025-01-13T00:32:08.922Z
H-TH,75.6,11.4,0,0,2,"1/12/2025, 18:31:29",2025-01-13T00:31:28.919Z
H-TH,75.4,11.3,0,0,0,"1/12/2025, 18:30:49",2025-01-13T00:30:48.959Z
H-TH,75.2,11.3,0,0,0,"1/12/2025, 18:30:09",2025-01-13T00:30:08.910Z
H-TH,75.1,11.4,0,0,0,"1/12/2025, 18:29:29",2025-01-13T00:29:28.904Z
H-TH,74.8,11.3,0,1,1,"1/12/2025, 18:28:49",2025-01-13T00:28:48.890Z
G-TH,72.1,12.2,0,0,0,"1/12/2025, 18:28:10",2025-01-13T00:28:10.284Z
G-TH,71.9,12.3,0,0,0,"1/12/2025, 18:27:40",2025-01-13T00:27:40.228Z
G-TH,71.6,12.3,0,0,0,"1/12/2025, 18:27:10",2025-01-13T00:27:10.224Z
G-TH,71.5,12.5,0,0,0,"1/12/2025, 18:26:40",2025-01-13T00:26:40.232Z
G-TH,71.3,12.5,0,0,0,"1/12/2025, 18:26:10",2025-01-13T00:26:10.269Z
G-TH,71.0,12.6,0,0,0,"1/12/2025, 18:25:40",2025-01-13T00:25:40.235Z
G-TH,70.6,12.6,0,0,0,"1/12/2025, 18:25:10",2025-01-13T00:25:10.218Z
G-TH,70.1,12.7,0,0,0,"1/12/2025, 18:24:40",2025-01-13T00:24:40.227Z
G-TH,69.7,12.8,0,0,0,"1/12/2025, 18:24:10",2025-01-13T00:24:10.184Z
G-TH,69.2,12.8,0,0,0,"1/12/2025, 18:23:40",2025-01-13T00:23:40.212Z
G-TH,68.4,13.2,0,0,0,"1/12/2025, 18:18:10",2025-01-13T00:18:10.071Z
H-TH,74.8,11.9,0,0,0,"1/12/2025, 18:18:09",2025-01-13T00:18:08.826Z
G-TH,68.4,13.2,0,0,0,"1/12/2025, 18:17:40",2025-01-13T00:17:40.067Z
H-TH,74.9,11.8,0,0,0,"1/12/2025, 18:17:29",2025-01-13T00:17:28.812Z
G-TH,68.4,13.3,0,0,0,"1/12/2025, 18:17:10",2025-01-13T00:17:10.074Z
H-TH,74.9,11.8,0,0,0,"1/12/2025, 18:16:49",2025-01-13T00:16:48.803Z
G-TH,68.3,13.3,0,0,0,"1/12/2025, 18:16:40",2025-01-13T00:16:40.028Z
G-TH,68.3,13.3,0,0,0,"1/12/2025, 18:16:10",2025-01-13T00:16:10.030Z
H-TH,75.0,11.7,0,0,0,"1/12/2025, 18:16:09",2025-01-13T00:16:08.846Z
G-TH,68.2,13.3,0,0,0,"1/12/2025, 18:15:40",2025-01-13T00:15:40.003Z
H-TH,75.0,11.7,0,0,0,"1/12/2025, 18:15:29",2025-01-13T00:15:28.790Z
G-TH,68.1,13.3,0,0,0,"1/12/2025, 18:15:10",2025-01-13T00:15:10.019Z
H-TH,75.0,11.6,0,0,0,"1/12/2025, 18:14:49",2025-01-13T00:14:48.784Z
G-TH,67.9,13.3,0,0,0,"1/12/2025, 18:14:40",2025-01-13T00:14:39.973Z
G-TH,67.8,13.3,0,0,1,"1/12/2025, 18:14:10",2025-01-13T00:14:09.974Z
H-TH,75.0,11.6,0,0,0,"1/12/2025, 18:14:09",2025-01-13T00:14:08.794Z
G-TH,67.6,13.4,0,0,0,"1/12/2025, 18:13:40",2025-01-13T00:13:39.963Z
G-TH,66.0,13.6,0,0,0,"1/12/2025, 18:08:10",2025-01-13T00:08:09.862Z
G-TH,65.9,13.6,0,0,0,"1/12/2025, 18:07:40",2025-01-13T00:07:39.882Z
G-TH,65.9,13.6,0,0,0,"1/12/2025, 18:07:10",2025-01-13T00:07:09.876Z
G-TH,65.7,13.6,0,0,0,"1/12/2025, 18:06:40",2025-01-13T00:06:39.842Z
G-TH,65.6,13.6,0,0,0,"1/12/2025, 18:06:10",2025-01-13T00:06:09.865Z
G-TH,65.4,13.6,0,0,0,"1/12/2025, 18:05:40",2025-01-13T00:05:39.871Z
G-TH,65.2,13.6,0,0,0,"1/12/2025, 18:05:10",2025-01-13T00:05:09.828Z
G-TH,65.0,13.6,0,0,0,"1/12/2025, 18:04:40",2025-01-13T00:04:39.834Z
G-TH,64.7,13.6,0,0,0,"1/12/2025, 18:04:10",2025-01-13T00:04:09.819Z
G-TH,64.2,13.6,0,0,0,"1/12/2025, 18:03:40",2025-01-13T00:03:39.814Z
H-TH,74.9,11.9,0,1,1,"1/12/2025, 18:03:29",2025-01-13T00:03:28.706Z
H-TH,75.0,11.8,0,0,0,"1/12/2025, 18:02:49",2025-01-13T00:02:48.703Z
H-TH,75.1,11.8,0,0,0,"1/12/2025, 18:02:09",2025-01-13T00:02:08.700Z
H-TH,75.2,11.8,0,0,0,"1/12/2025, 18:01:29",2025-01-13T00:01:28.701Z
H-TH,75.2,11.8,0,0,0,"1/12/2025, 18:00:49",2025-01-13T00:00:48.686Z
H-TH,75.2,11.8,0,0,0,"1/12/2025, 18:00:09",2025-01-13T00:00:08.690Z
H-TH,75.0,11.8,0,0,0,"1/12/2025, 17:59:29",2025-01-12T23:59:28.674Z
G-TH,61.8,14.0,0,0,0,"1/12/2025, 17:58:09",2025-01-12T23:58:09.756Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:57:40",2025-01-12T23:57:39.755Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:57:10",2025-01-12T23:57:09.782Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:56:40",2025-01-12T23:56:39.722Z
G-TH,61.6,14.1,0,0,0,"1/12/2025, 17:56:10",2025-01-12T23:56:09.745Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:55:40",2025-01-12T23:55:39.698Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:55:10",2025-01-12T23:55:09.717Z
G-TH,61.8,14.1,0,0,0,"1/12/2025, 17:54:40",2025-01-12T23:54:39.667Z
G-TH,61.8,14.1,0,0,0,"1/12/2025, 17:54:10",2025-01-12T23:54:09.648Z
G-TH,61.7,14.1,0,0,0,"1/12/2025, 17:53:40",2025-01-12T23:53:39.641Z
H-TH,73.3,12.4,0,0,0,"1/12/2025, 17:48:48",2025-01-12T23:48:48.579Z
H-TH,73.4,12.4,0,0,0,"1/12/2025, 17:48:09",2025-01-12T23:48:08.614Z
G-TH,62.5,14.3,0,0,0,"1/12/2025, 17:47:39",2025-01-12T23:47:39.521Z
H-TH,73.5,12.3,0,0,0,"1/12/2025, 17:47:29",2025-01-12T23:47:28.568Z
G-TH,62.5,14.3,0,0,0,"1/12/2025, 17:47:09",2025-01-12T23:47:09.512Z
H-TH,73.4,12.3,0,0,0,"1/12/2025, 17:46:48",2025-01-12T23:46:48.551Z
G-TH,62.6,14.3,0,0,0,"1/12/2025, 17:46:39",2025-01-12T23:46:39.534Z
G-TH,62.7,14.3,0,0,0,"1/12/2025, 17:46:09",2025-01-12T23:46:09.516Z
H-TH,73.4,12.4,0,0,0,"1/12/2025, 17:46:09",2025-01-12T23:46:08.557Z
G-TH,62.7,14.3,0,0,0,"1/12/2025, 17:45:39",2025-01-12T23:45:39.492Z
H-TH,73.4,12.3,0,0,0,"1/12/2025, 17:45:29",2025-01-12T23:45:28.572Z
G-TH,62.6,14.3,0,0,0,"1/12/2025, 17:45:09",2025-01-12T23:45:09.485Z
H-TH,73.3,12.3,0,0,0,"1/12/2025, 17:44:48",2025-01-12T23:44:48.540Z
G-TH,62.6,14.3,0,0,0,"1/12/2025, 17:44:39",2025-01-12T23:44:39.477Z
G-TH,62.5,14.3,0,0,0,"1/12/2025, 17:44:09",2025-01-12T23:44:09.480Z
H-TH,0.0,0.0,0,1,1,"1/12/2025, 17:44:09",2025-01-12T23:44:08.537Z
G-TH,62.5,14.2,0,0,1,"1/12/2025, 17:43:39",2025-01-12T23:43:39.477Z
G-TH,0.0,0.0,0,0,0,"1/12/2025, 17:43:09",2025-01-12T23:43:09.463Z
G-TH,62.3,14.5,0,0,1,"1/12/2025, 17:37:39",2025-01-12T23:37:39.390Z
G-TH,62.5,14.5,0,0,1,"1/12/2025, 17:37:09",2025-01-12T23:37:09.398Z
G-TH,62.5,14.5,0,0,0,"1/12/2025, 17:36:39",2025-01-12T23:36:39.394Z
G-TH,62.7,14.5,0,0,0,"1/12/2025, 17:36:09",2025-01-12T23:36:09.400Z
G-TH,63.1,14.6,0,0,0,"1/12/2025, 17:35:39",2025-01-12T23:35:39.374Z
G-TH,63.2,14.6,0,0,0,"1/12/2025, 17:35:09",2025-01-12T23:35:09.354Z
G-TH,63.1,14.5,0,0,0,"1/12/2025, 17:34:39",2025-01-12T23:34:39.345Z
G-TH,63.2,14.5,0,0,0,"1/12/2025, 17:34:09",2025-01-12T23:34:09.335Z
G-TH,63.2,14.5,0,0,0,"1/12/2025, 17:33:39",2025-01-12T23:33:39.312Z
H-TH,69.3,12.9,0,0,0,"1/12/2025, 17:33:29",2025-01-12T23:33:28.441Z
G-TH,0.0,0.0,0,2,2,"1/12/2025, 17:33:09",2025-01-12T23:33:09.301Z
H-TH,68.7,13.0,0,0,0,"1/12/2025, 17:32:48",2025-01-12T23:32:48.427Z
H-TH,68.1,13.0,0,0,0,"1/12/2025, 17:32:09",2025-01-12T23:32:08.429Z
H-TH,67.6,13.2,0,0,0,"1/12/2025, 17:31:28",2025-01-12T23:31:28.424Z
H-TH,67.2,13.1,0,0,0,"1/12/2025, 17:30:48",2025-01-12T23:30:48.454Z
H-TH,66.0,13.3,0,0,0,"1/12/2025, 17:30:08",2025-01-12T23:30:08.414Z
H-TH,64.1,13.7,0,1,1,"1/12/2025, 17:29:28",2025-01-12T23:29:28.406Z
G-TH,63.5,14.4,0,0,0,"1/12/2025, 17:27:39",2025-01-12T23:27:39.210Z
G-TH,63.8,14.4,0,0,0,"1/12/2025, 17:27:09",2025-01-12T23:27:09.236Z
G-TH,64.1,14.4,0,0,0,"1/12/2025, 17:26:39",2025-01-12T23:26:39.169Z
G-TH,64.1,14.4,0,0,0,"1/12/2025, 17:26:09",2025-01-12T23:26:09.162Z
G-TH,64.1,14.3,0,0,0,"1/12/2025, 17:25:39",2025-01-12T23:25:39.152Z
G-TH,64.0,14.3,0,0,0,"1/12/2025, 17:25:09",2025-01-12T23:25:09.141Z
G-TH,64.0,14.3,0,0,0,"1/12/2025, 17:24:39",2025-01-12T23:24:39.131Z
G-TH,64.1,14.3,0,0,0,"1/12/2025, 17:24:09",2025-01-12T23:24:09.134Z
G-TH,64.2,14.3,0,0,0,"1/12/2025, 17:23:39",2025-01-12T23:23:39.126Z
G-TH,64.2,14.2,0,3,3,"1/12/2025, 17:23:09",2025-01-12T23:23:09.158Z
H-TH,53.0,15.7,0,1,1,"1/12/2025, 17:18:48",2025-01-12T23:18:48.306Z
H-TH,52.6,15.7,0,0,0,"1/12/2025, 17:18:09",2025-01-12T23:18:08.351Z
G-TH,64.0,14.2,0,0,0,"1/12/2025, 17:17:39",2025-01-12T23:17:39.047Z
H-TH,52.2,15.7,0,0,0,"1/12/2025, 17:17:28",2025-01-12T23:17:28.291Z
G-TH,63.8,14.2,0,0,0,"1/12/2025, 17:17:09",2025-01-12T23:17:09.013Z
H-TH,52.4,15.7,0,0,0,"1/12/2025, 17:16:48",2025-01-12T23:16:48.292Z
G-TH,63.7,14.2,0,0,0,"1/12/2025, 17:16:39",2025-01-12T23:16:39.018Z
G-TH,63.7,14.2,0,0,0,"1/12/2025, 17:16:09",2025-01-12T23:16:09.011Z
H-TH,52.8,15.6,0,0,0,"1/12/2025, 17:16:09",2025-01-12T23:16:08.300Z
G-TH,63.7,14.1,0,0,0,"1/12/2025, 17:15:39",2025-01-12T23:15:39.053Z
H-TH,52.4,15.6,0,0,0,"1/12/2025, 17:15:28",2025-01-12T23:15:28.285Z
G-TH,63.6,14.1,0,0,0,"1/12/2025, 17:15:09",2025-01-12T23:15:09.044Z
H-TH,52.4,15.6,0,1,1,"1/12/2025, 17:14:48",2025-01-12T23:14:48.274Z
G-TH,63.5,14.2,0,0,0,"1/12/2025, 17:14:39",2025-01-12T23:14:39.013Z
G-TH,63.4,14.2,0,0,0,"1/12/2025, 17:14:09",2025-01-12T23:14:08.967Z
G-TH,63.1,14.3,0,0,0,"1/12/2025, 17:13:39",2025-01-12T23:13:38.947Z
G-TH,62.9,14.4,0,0,0,"1/12/2025, 17:13:09",2025-01-12T23:13:08.982Z
G-TH,62.4,14.8,0,0,0,"1/12/2025, 17:07:39",2025-01-12T23:07:38.890Z
G-TH,62.1,14.8,0,0,0,"1/12/2025, 17:07:09",2025-01-12T23:07:08.826Z
G-TH,62.1,14.9,0,0,0,"1/12/2025, 17:06:39",2025-01-12T23:06:38.809Z
G-TH,62.0,15.0,0,0,0,"1/12/2025, 17:06:09",2025-01-12T23:06:08.798Z
G-TH,61.9,15.0,0,0,0,"1/12/2025, 17:05:39",2025-01-12T23:05:38.800Z
G-TH,61.0,15.2,0,0,0,"1/12/2025, 17:05:09",2025-01-12T23:05:08.769Z
G-TH,60.2,15.7,0,0,0,"1/12/2025, 17:04:39",2025-01-12T23:04:38.759Z
G-TH,59.5,15.8,0,0,0,"1/12/2025, 17:04:09",2025-01-12T23:04:08.785Z
H-TH,51.9,16.2,0,0,0,"1/12/2025, 17:04:08",2025-01-12T23:04:08.216Z
G-TH,59.4,15.8,0,0,0,"1/12/2025, 17:03:39",2025-01-12T23:03:38.743Z
H-TH,51.8,16.2,0,0,1,"1/12/2025, 17:03:28",2025-01-12T23:03:28.171Z
G-TH,59.0,15.8,0,0,0,"1/12/2025, 17:03:09",2025-01-12T23:03:08.782Z
H-TH,51.9,16.1,0,0,0,"1/12/2025, 17:02:48",2025-01-12T23:02:48.165Z
H-TH,52.2,16.1,0,0,0,"1/12/2025, 17:02:08",2025-01-12T23:02:08.203Z
H-TH,52.6,16.0,0,0,0,"1/12/2025, 17:01:28",2025-01-12T23:01:28.164Z
H-TH,52.3,16.0,0,0,0,"1/12/2025, 17:00:48",2025-01-12T23:00:48.150Z
H-TH,52.5,16.0,0,0,0,"1/12/2025, 17:00:08",2025-01-12T23:00:08.153Z
G-TH,57.1,16.3,0,0,0,"1/12/2025, 16:57:38",2025-01-12T22:57:38.639Z
G-TH,57.0,16.3,0,0,0,"1/12/2025, 16:57:09",2025-01-12T22:57:08.646Z
G-TH,56.8,16.3,0,0,0,"1/12/2025, 16:56:39",2025-01-12T22:56:38.622Z
G-TH,56.6,16.3,0,0,0,"1/12/2025, 16:56:08",2025-01-12T22:56:08.620Z
G-TH,56.4,16.3,0,0,0,"1/12/2025, 16:55:38",2025-01-12T22:55:38.618Z
G-TH,56.5,16.3,0,0,0,"1/12/2025, 16:55:08",2025-01-12T22:55:08.614Z
G-TH,57.1,16.4,0,0,0,"1/12/2025, 16:54:39",2025-01-12T22:54:38.618Z
G-TH,57.0,16.3,0,0,0,"1/12/2025, 16:54:08",2025-01-12T22:54:08.603Z
G-TH,57.1,16.3,0,0,0,"1/12/2025, 16:53:38",2025-01-12T22:53:38.629Z
G-TH,57.3,16.3,0,1,1,"1/12/2025, 16:53:09",2025-01-12T22:53:08.589Z
H-TH,50.7,16.6,0,0,0,"1/12/2025, 16:49:28",2025-01-12T22:49:28.038Z
H-TH,51.3,16.5,0,0,0,"1/12/2025, 16:48:48",2025-01-12T22:48:48.044Z
H-TH,51.3,16.5,0,0,0,"1/12/2025, 16:48:08",2025-01-12T22:48:08.040Z
G-TH,56.4,17.1,0,0,0,"1/12/2025, 16:47:38",2025-01-12T22:47:38.490Z
H-TH,51.4,16.5,0,0,1,"1/12/2025, 16:47:28",2025-01-12T22:47:28.033Z
G-TH,56.9,17.3,0,0,0,"1/12/2025, 16:47:09",2025-01-12T22:47:08.471Z
H-TH,51.4,16.4,0,0,0,"1/12/2025, 16:46:48",2025-01-12T22:46:48.013Z
G-TH,56.0,17.3,0,0,0,"1/12/2025, 16:46:38",2025-01-12T22:46:38.461Z
G-TH,54.6,17.3,0,0,0,"1/12/2025, 16:46:08",2025-01-12T22:46:08.441Z
H-TH,51.4,16.4,0,0,0,"1/12/2025, 16:46:08",2025-01-12T22:46:08.040Z
G-TH,53.9,17.4,0,0,0,"1/12/2025, 16:45:38",2025-01-12T22:45:38.423Z
H-TH,51.2,16.3,0,0,0,"1/12/2025, 16:45:28",2025-01-12T22:45:28.020Z
G-TH,53.5,17.4,0,0,0,"1/12/2025, 16:45:09",2025-01-12T22:45:08.419Z
H-TH,0.0,0.0,0,2,2,"1/12/2025, 16:44:48",2025-01-12T22:44:47.987Z
G-TH,53.4,17.5,0,0,0,"1/12/2025, 16:44:39",2025-01-12T22:44:38.404Z
G-TH,53.5,17.5,0,0,0,"1/12/2025, 16:44:08",2025-01-12T22:44:08.423Z
G-TH,53.4,17.4,0,0,0,"1/12/2025, 16:43:38",2025-01-12T22:43:38.381Z
G-TH,53.0,17.4,0,0,0,"1/12/2025, 16:43:08",2025-01-12T22:43:08.416Z
G-TH,52.0,18.1,0,0,0,"1/12/2025, 16:37:38",2025-01-12T22:37:38.262Z
G-TH,51.8,18.1,0,0,0,"1/12/2025, 16:37:08",2025-01-12T22:37:08.251Z
G-TH,51.8,18.2,0,0,0,"1/12/2025, 16:36:38",2025-01-12T22:36:38.261Z
G-TH,51.9,18.2,0,0,0,"1/12/2025, 16:36:08",2025-01-12T22:36:08.229Z
G-TH,51.8,18.1,0,0,0,"1/12/2025, 16:35:38",2025-01-12T22:35:38.224Z
G-TH,52.3,18.0,0,0,0,"1/12/2025, 16:35:08",2025-01-12T22:35:08.222Z
G-TH,52.2,18.0,0,0,0,"1/12/2025, 16:34:38",2025-01-12T22:34:38.245Z
G-TH,51.9,18.0,0,0,0,"1/12/2025, 16:34:08",2025-01-12T22:34:08.218Z
H-TH,50.0,17.1,0,0,0,"1/12/2025, 16:34:08",2025-01-12T22:34:07.936Z
G-TH,51.4,18.0,0,0,0,"1/12/2025, 16:33:38",2025-01-12T22:33:38.215Z
H-TH,50.6,17.1,0,0,0,"1/12/2025, 16:33:28",2025-01-12T22:33:27.931Z
G-TH,51.7,18.0,0,0,0,"1/12/2025, 16:33:08",2025-01-12T22:33:08.255Z
H-TH,50.4,17.1,0,0,0,"1/12/2025, 16:32:48",2025-01-12T22:32:47.935Z
H-TH,50.3,17.1,0,0,0,"1/12/2025, 16:32:08",2025-01-12T22:32:07.927Z
H-TH,50.6,17.1,0,0,0,"1/12/2025, 16:31:28",2025-01-12T22:31:27.907Z
H-TH,50.5,17.1,0,0,0,"1/12/2025, 16:30:48",2025-01-12T22:30:47.919Z
H-TH,50.7,17.1,0,2,2,"1/12/2025, 16:30:08",2025-01-12T22:30:07.883Z
G-TH,52.5,18.1,0,0,0,"1/12/2025, 16:27:38",2025-01-12T22:27:38.139Z
G-TH,53.7,18.0,0,0,0,"1/12/2025, 16:27:08",2025-01-12T22:27:08.138Z
G-TH,53.6,18.0,0,0,0,"1/12/2025, 16:26:38",2025-01-12T22:26:38.141Z
G-TH,52.5,18.0,0,0,0,"1/12/2025, 16:26:08",2025-01-12T22:26:08.143Z
G-TH,52.6,18.5,0,0,0,"1/12/2025, 16:25:38",2025-01-12T22:25:38.129Z
